Dst Port,Protocol,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
80.0,6.0,54201477.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03689936175942421,54201476.0,0.0,54201477.0,54201477.0,54201477.0,54201476.0,0.0,54201477.0,54201477.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.03689936175942421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,279.0,-1.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
80.0,6.0,5872477.0,4.0,4.0,97.0,232.0,97.0,0.0,24.25,48.5,232.0,0.0,58.0,116.0,56.0240592956543,1.362287163734436,838925.3125,2192706.0,5811256.0,42.0,61221.0,20407.0,35004.01171875,60826.0,102.0,5872226.0,1957408.625,3389701.75,5871499.0,344.0,0.0,0.0,0.0,0.0,92.0,92.0,0.681143581867218,0.681143581867218,0.0,232.0,36.55555725097656,80.0048599243164,6400.77783203125,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,41.125,24.25,58.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,97.0,4.0,232.0,8192.0,141.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
443.0,6.0,729.0,3.0,0.0,77.0,0.0,46.0,0.0,25.66666603088379,23.459184646606445,0.0,0.0,0.0,0.0,105624.140625,4115.2265625,364.5,488.61077880859375,710.0,19.0,729.0,364.5,488.61077880859375,710.0,19.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,60.0,0.0,4115.2265625,0.0,0.0,46.0,30.75,21.68524932861328,470.25,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,41.0,25.66666603088379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,77.0,0.0,0.0,253.0,-1.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
80.0,6.0,5673759.0,4.0,4.0,97.0,231.0,97.0,0.0,24.25,48.5,231.0,0.0,57.75,115.5,57.80999755859375,1.409999966621399,810537.0,2117191.75,5611598.0,38.0,62161.0,20720.333984375,35571.73046875,61795.0,141.0,5673572.0,1891190.625,3275093.5,5672943.0,278.0,0.0,0.0,0.0,0.0,92.0,92.0,0.7049999833106995,0.7049999833106995,0.0,231.0,36.44444274902344,79.6996078491211,6352.02783203125,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,41.0,24.25,57.75,0.0,0.0,0.0,0.0,0.0,0.0,4.0,97.0,4.0,231.0,8192.0,141.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
0.0,0.0,210787.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.488251173,210787.0,0.0,210787.0,210787.0,210787.0,210787.0,0.0,210787.0,210787.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.488251173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
53.0,17.0,1958.0,1.0,1.0,43.0,99.0,43.0,43.0,43.0,0.0,99.0,99.0,99.0,0.0,72522.984375,1021.450439453125,1958.0,0.0,1958.0,1958.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,510.7252197265625,510.7252197265625,43.0,99.0,61.66666793823242,32.33161544799805,1045.3333740234375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,92.5,43.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,43.0,1.0,99.0,-1.0,-1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
443.0,6.0,5477085.0,108.0,112.0,31436.0,89880.0,581.0,0.0,291.0740661621094,250.73300170898438,1460.0,0.0,802.5,573.7207641601562,22149.73828125,40.16735076904297,25009.521484375,45022.41796875,485150.0,0.0,5477085.0,51187.7109375,60731.37109375,485150.0,22.0,5204925.0,46891.21484375,76639.078125,564354.0,0.0,0.0,0.0,0.0,0.0,2172.0,2252.0,19.718517303466797,20.448833465576172,0.0,1460.0,548.941162109375,513.2188720703125,263393.59375,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,551.4363403320312,291.0740661621094,802.5,0.0,0.0,0.0,0.0,0.0,0.0,108.0,31436.0,112.0,89880.0,8192.0,3167.0,63.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
8080.0,6.0,520.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3846.15380859375,520.0,0.0,520.0,520.0,520.0,520.0,0.0,520.0,520.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,3846.15380859375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2052.0,-1.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bot
8080.0,6.0,451.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4434.58984375,451.0,0.0,451.0,451.0,451.0,451.0,0.0,451.0,451.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,4434.58984375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2052.0,-1.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bot
8080.0,6.0,473.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4228.32958984375,473.0,0.0,473.0,473.0,473.0,473.0,0.0,473.0,473.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,4228.32958984375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2052.0,-1.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bot
